model,runs,avg_time_sec,std_dev_sec,min_time_sec,max_time_sec,all_times
gpt-oss:20b,100,8.394878301620484,1.4111699596094924,6.016304016113281,15.560934066772461,"[15.560934066772461, 8.470230102539062, 12.518606424331665, 7.668866157531738, 7.425912141799927, 8.56743335723877, 8.397642135620117, 9.922965288162231, 7.245142221450806, 9.216776371002197, 7.979913711547852, 7.730164527893066, 8.70201301574707, 8.64958930015564, 7.917115211486816, 7.917028188705444, 6.957994699478149, 7.0461530685424805, 8.44510817527771, 8.041379690170288, 7.648344278335571, 9.116470098495483, 8.838318586349487, 9.057087898254395, 8.35688042640686, 6.827551603317261, 9.552308559417725, 8.929138422012329, 10.006013631820679, 8.171985149383545, 8.256695032119751, 6.125436067581177, 9.740291357040405, 11.099975824356079, 9.056952953338623, 7.838256120681763, 6.920750379562378, 9.310713529586792, 8.129388093948364, 9.243786334991455, 12.138158798217773, 9.30520248413086, 7.225402116775513, 8.062662839889526, 8.884851217269897, 7.4714484214782715, 6.030198574066162, 7.4602439403533936, 7.47822117805481, 7.4495530128479, 7.878713369369507, 9.876463890075684, 7.511773109436035, 8.505471229553223, 9.94602918624878, 9.360625267028809, 8.487151861190796, 8.184106588363647, 7.7082600593566895, 7.247978687286377, 9.160107851028442, 8.269293308258057, 8.866377830505371, 8.344342470169067, 8.30306887626648, 7.973697900772095, 8.100022792816162, 8.907058715820312, 7.764749050140381, 12.51106858253479, 6.016304016113281, 8.161409854888916, 8.039710283279419, 7.615539789199829, 6.914853096008301, 7.211838960647583, 7.045028924942017, 7.801185607910156, 9.458170652389526, 7.218380689620972, 8.55371356010437, 7.769320964813232, 8.86444091796875, 8.305431604385376, 7.76934552192688, 9.153043508529663, 7.348961114883423, 7.448766708374023, 9.115046977996826, 8.918395280838013, 8.565943002700806, 10.860755681991577, 7.437503814697266, 8.148772478103638, 6.231045484542847, 7.793733835220337, 7.673614740371704, 7.4160332679748535, 9.26568341255188, 6.346240997314453]"
gpt-oss:120b,100,142.60802027463913,10.638038448118188,107.21691536903381,172.49034118652344,"[168.7102086544037, 141.05955505371094, 146.09621906280518, 146.60553169250488, 172.49034118652344, 139.43257236480713, 152.99347043037415, 157.78411555290222, 142.9341630935669, 141.44146966934204, 154.18645095825195, 143.7419695854187, 133.9307222366333, 144.0075545310974, 138.77370524406433, 139.123384475708, 138.31970286369324, 157.23762464523315, 147.08946752548218, 162.87543034553528, 146.5881597995758, 145.74157309532166, 145.51007723808289, 137.85940146446228, 135.4360237121582, 156.64937281608582, 155.59282422065735, 134.97297430038452, 135.48335075378418, 142.49857378005981, 135.9533371925354, 135.7295298576355, 144.11351680755615, 150.08461689949036, 117.41122579574585, 139.83646941184998, 112.379385471344, 153.58408617973328, 137.33524250984192, 143.2371129989624, 136.84258723258972, 152.25864601135254, 144.55482864379883, 134.69206619262695, 133.85219621658325, 144.21681809425354, 107.21691536903381, 136.64663577079773, 150.24090957641602, 150.93368983268738, 141.8582227230072, 159.98954319953918, 143.61604857444763, 144.9919250011444, 146.20169186592102, 151.92255854606628, 132.98034477233887, 137.4185073375702, 149.4517514705658, 133.1826343536377, 157.2144603729248, 145.4951069355011, 133.40819907188416, 141.0162317752838, 127.36779880523682, 135.26818799972534, 131.07480025291443, 139.66852831840515, 150.92233848571777, 128.32856631278992, 144.87670946121216, 152.644939661026, 143.39173078536987, 148.5251178741455, 147.26931762695312, 152.5497920513153, 113.39131474494934, 160.01452612876892, 149.9083845615387, 130.82191514968872, 134.1714539527893, 139.02942514419556, 156.3708894252777, 142.42238855361938, 138.00217700004578, 148.84609365463257, 143.5863389968872, 140.92670893669128, 144.9046609401703, 145.87068700790405, 124.61644625663757, 143.82926774024963, 140.14931869506836, 144.05158853530884, 142.64546537399292, 133.2581181526184, 131.62165474891663, 146.94070172309875, 139.1227250099182, 139.37891697883606]"
qwen3:4b,100,10.622239897251129,7.043266826457892,5.657109260559082,39.074050188064575,"[12.503694295883179, 28.56235980987549, 6.744672060012817, 7.216109991073608, 6.81854772567749, 6.244534730911255, 26.32801055908203, 6.512705326080322, 6.359485864639282, 15.767861366271973, 6.466731786727905, 6.983520984649658, 7.332114219665527, 6.1263909339904785, 24.09446120262146, 16.21311855316162, 7.187699317932129, 7.2581915855407715, 6.574322938919067, 6.425442695617676, 5.797038316726685, 20.83258295059204, 5.896543264389038, 6.47990870475769, 6.24995493888855, 6.362204074859619, 6.225034952163696, 7.327634334564209, 16.962934017181396, 6.488063812255859, 6.6900248527526855, 13.699749231338501, 6.455549478530884, 7.415616512298584, 6.454667091369629, 6.86932373046875, 9.009809970855713, 18.001452445983887, 13.930840015411377, 6.051058292388916, 5.822580099105835, 7.289175033569336, 7.399245500564575, 14.372552871704102, 14.992748498916626, 23.25339913368225, 7.32343602180481, 7.388679027557373, 6.506251096725464, 23.81139588356018, 6.242685317993164, 20.689237117767334, 10.833479881286621, 6.691961050033569, 30.347813844680786, 7.617131948471069, 6.297576189041138, 6.229154825210571, 6.918490648269653, 6.7811806201934814, 19.222567796707153, 7.056744337081909, 6.766798257827759, 6.191503524780273, 6.759005069732666, 7.208958864212036, 6.52885627746582, 17.442150592803955, 5.766172647476196, 21.338186264038086, 15.451993703842163, 6.604702472686768, 39.074050188064575, 17.965474843978882, 5.657109260559082, 6.908788442611694, 6.877390146255493, 6.341030836105347, 6.206926584243774, 6.15545129776001, 18.97971200942993, 7.485825538635254, 7.23669958114624, 6.962838172912598, 6.594593286514282, 31.944377660751343, 20.49242353439331, 6.860215187072754, 6.350973129272461, 7.267399549484253, 6.678870677947998, 6.31842827796936, 6.942456483840942, 8.241397857666016, 6.561158895492554, 6.8365254402160645, 22.109785318374634, 5.943109750747681, 16.69295883178711, 6.472237586975098]"
qwen3:8b,100,10.12800416469574,2.0612136147963147,7.219963312149048,17.892014980316162,"[11.57342529296875, 8.866304636001587, 10.14819860458374, 10.845245599746704, 9.319823503494263, 8.142326593399048, 13.659924983978271, 11.423440217971802, 11.78956651687622, 11.069844245910645, 8.57617449760437, 10.450802087783813, 9.131858587265015, 7.72274923324585, 11.835698366165161, 11.501896142959595, 9.208749055862427, 9.976134538650513, 8.946898698806763, 8.934352159500122, 9.45632004737854, 10.268073320388794, 9.82005262374878, 8.994747161865234, 8.85697627067566, 9.179144382476807, 8.950136184692383, 8.828203439712524, 12.13661813735962, 8.75016474723816, 17.892014980316162, 14.74227523803711, 9.60417103767395, 9.074928522109985, 10.25122356414795, 8.402892112731934, 13.776832818984985, 8.609210729598999, 8.551113605499268, 10.42810344696045, 9.129342555999756, 8.368415832519531, 8.477376461029053, 10.05065655708313, 8.37197995185852, 12.048009395599365, 7.826937675476074, 12.824008226394653, 10.871849060058594, 10.774305582046509, 8.618337154388428, 11.453906774520874, 8.489790916442871, 8.303168773651123, 9.206548929214478, 7.476461172103882, 8.827991962432861, 8.67285943031311, 13.810698986053467, 11.105149030685425, 11.660766839981079, 10.185372591018677, 12.791581153869629, 10.507157325744629, 9.743958711624146, 9.18065333366394, 17.81588339805603, 8.314771890640259, 9.167222499847412, 12.78749418258667, 9.753259897232056, 12.39818263053894, 7.919749021530151, 14.0861074924469, 9.086738109588623, 9.113342761993408, 11.999875545501709, 10.518351554870605, 11.872661113739014, 7.827743768692017, 7.4939610958099365, 11.025986194610596, 11.33143401145935, 11.476552724838257, 8.055834531784058, 13.788835287094116, 12.601279497146606, 8.710156917572021, 8.999255418777466, 11.377899169921875, 7.818450689315796, 9.293196201324463, 7.712157249450684, 11.306068420410156, 9.747761487960815, 7.219963312149048, 9.251495838165283, 8.606950998306274, 8.073725938796997, 7.77416729927063]"
gemma3:12b,100,12.45620367050171,0.6638466304531191,11.189368724822998,15.31635332107544,"[15.31635332107544, 12.840340614318848, 12.238044738769531, 11.393897771835327, 12.407899618148804, 12.064658880233765, 13.081667423248291, 12.416036367416382, 12.463083267211914, 12.603593349456787, 11.765435934066772, 13.243189811706543, 11.925857782363892, 12.435307741165161, 12.15062165260315, 12.555428266525269, 13.400665760040283, 11.968917846679688, 12.622099876403809, 12.055906295776367, 11.286659955978394, 12.317954301834106, 12.481758117675781, 12.320011377334595, 12.626449584960938, 12.206859350204468, 12.004979610443115, 12.490293264389038, 11.973453760147095, 12.334388494491577, 11.491902112960815, 12.758492231369019, 11.76016354560852, 12.290795087814331, 12.20138931274414, 13.16396427154541, 13.058711767196655, 12.154754877090454, 11.189368724822998, 12.533328771591187, 12.67259168624878, 12.211726188659668, 11.916826248168945, 13.121533870697021, 13.37927794456482, 13.485983610153198, 12.644991159439087, 11.841487407684326, 12.10162091255188, 12.183300971984863, 11.520026445388794, 12.726667165756226, 12.286981582641602, 12.476053237915039, 12.105919599533081, 12.769481420516968, 14.131986856460571, 12.235506296157837, 13.000741720199585, 12.894782543182373, 13.02591323852539, 11.921238660812378, 11.27066969871521, 12.981756687164307, 12.698068618774414, 11.812442302703857, 12.34404706954956, 13.051998138427734, 12.082911968231201, 12.054477453231812, 12.106927633285522, 11.876871824264526, 11.393780708312988, 11.872357606887817, 11.461838483810425, 12.733899593353271, 12.977397203445435, 12.293898105621338, 13.27107834815979, 11.407610893249512, 12.780205249786377, 12.396618127822876, 13.132469892501831, 11.935508251190186, 13.575646877288818, 13.145103454589844, 11.611152172088623, 13.711062669754028, 12.884281635284424, 13.190826416015625, 13.278145790100098, 12.823241472244263, 12.924680471420288, 12.160227060317993, 12.889048337936401, 12.239931583404541, 12.619537353515625, 11.63972020149231, 11.820312261581421, 12.921291828155518]"
gemma3:27b,100,21.829134402275084,1.4728706538293304,17.14739751815796,27.76312494277954,"[27.76312494277954, 20.344974994659424, 23.359739780426025, 22.147107362747192, 22.208685874938965, 20.251650094985962, 24.059713125228882, 23.111729860305786, 23.328598260879517, 23.616777420043945, 22.99159073829651, 22.464848518371582, 22.899004220962524, 20.8484525680542, 20.36479687690735, 22.944920301437378, 20.905187606811523, 19.70388126373291, 22.568397998809814, 20.878130435943604, 20.277877807617188, 22.100250959396362, 21.80429697036743, 23.276443243026733, 22.872357845306396, 21.668503761291504, 22.317946672439575, 22.70767045021057, 22.608686208724976, 20.716092824935913, 22.039828777313232, 20.33950972557068, 19.429907083511353, 21.277361631393433, 20.603331327438354, 20.422860145568848, 21.16043758392334, 20.49893069267273, 24.091155767440796, 19.618274211883545, 23.212703227996826, 19.670751810073853, 23.439293146133423, 23.403457403182983, 21.03170394897461, 19.204360008239746, 20.841374397277832, 20.555737257003784, 20.820518970489502, 21.661174058914185, 20.53046202659607, 22.738297700881958, 19.183607816696167, 22.91631555557251, 20.678778409957886, 22.915661573410034, 23.819372177124023, 20.771307706832886, 20.165974378585815, 20.643542289733887, 24.304793119430542, 22.43741273880005, 20.20239806175232, 21.341181755065918, 21.901089906692505, 22.52514147758484, 21.61213970184326, 21.4784939289093, 22.53558325767517, 23.156410932540894, 20.62682032585144, 20.29301118850708, 23.218681812286377, 21.76106882095337, 23.993454933166504, 22.192038774490356, 22.143409252166748, 21.655416011810303, 21.34644603729248, 20.095527172088623, 22.765146732330322, 22.52235221862793, 21.128519773483276, 22.73147225379944, 20.99413299560547, 20.429086446762085, 22.006824016571045, 21.956351280212402, 22.465104341506958, 22.020275115966797, 23.867279291152954, 17.14739751815796, 21.852535247802734, 23.143290519714355, 22.97314429283142, 21.778724908828735, 20.77301001548767, 24.183706521987915, 22.063043117523193, 22.494094610214233]"
