model,runs,avg_time_sec,std_dev_sec,min_time_sec,max_time_sec,all_times
gpt-oss:20b,2,11.922244787216187,4.8341015736137605,8.504018783569336,15.340470790863037,"[15.340470790863037, 8.504018783569336]"
gpt-oss:120b,2,139.89186429977417,6.873774705063311,135.03137159347534,144.752357006073,"[144.752357006073, 135.03137159347534]"
qwen3:4b,2,14.612664937973022,9.789621137116857,7.690357446670532,21.534972429275513,"[21.534972429275513, 7.690357446670532]"
qwen3:8b,2,10.451672196388245,1.4995418802321285,9.39133596420288,11.512008428573608,"[11.512008428573608, 9.39133596420288]"
gemma3:12b,2,15.50125241279602,2.5050515520362926,13.729913473129272,17.27259135246277,"[17.27259135246277, 13.729913473129272]"
gemma3:27b,2,27.54552447795868,3.190426238018865,25.289552450180054,29.801496505737305,"[29.801496505737305, 25.289552450180054]"
